date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:02:23	673/673	---M-Z	-1	error ('Open%20error%20when%20decompressing%20(can%20not%20create%20temporary%20file%20/tmp0.z)')	text/html	etag:W/%2263596fe9-4f6%22	https://armasm.com/robots.txt		(from )
09:02:24	10859/10859	---M-Z	200	added ('OK')	text/html	etag:W/%2263596fe9-2a6b%22	https://armasm.com/	armasm.com/index.html	(from )
09:02:24	291/291	---M-Z	200	added ('OK')	application/json	etag:W/%2263596fe9-123%22	https://armasm.com/manifest.json	armasm.com/manifest.json	(from https://armasm.com/)
09:02:25	109/109	---M--	200	added ('OK')	image/png	etag:%2263596fe9-6d%22	https://armasm.com/favicon.png	armasm.com/favicon.png	(from https://armasm.com/)
09:02:26	12367/12367	---M-Z	200	added ('OK')	text/css	etag:W/%2263596fe9-304f%22	https://armasm.com/book.min.c58292d36b18b675680ab9baea2029204537b839ea72f258746ec0f32ce8d6c8.css	armasm.com/book.min.c58292d36b18b675680ab9baea2029204537b839ea72f258746ec0f32ce8d6c8.css	(from https://armasm.com/)
09:02:28	17812/17812	---M-Z	200	added ('OK')	application/javascript	etag:W/%2263596fe9-4594%22	https://armasm.com/flexsearch.min.js	armasm.com/flexsearch.min.js	(from https://armasm.com/)
09:02:28	1321/1321	---M-Z	200	added ('OK')	application/javascript	etag:W/%2263596fe9-529%22	https://armasm.com/en.search.min.cdf1d3339ad599910ecaf0b922791999eccee31382959665fd94442ac92b40e9.js	armasm.com/en.search.min.cdf1d3339ad599910ecaf0b922791999eccee31382959665fd94442ac92b40e9.js	(from https://armasm.com/)
09:02:30	23998/23998	---M-Z	200	added ('OK')	application/xml	etag:W/%2263596fe9-5dbe%22	https://armasm.com/index.xml	armasm.com/index.xml	(from https://armasm.com/)
09:02:31	185/185	---M--	200	added ('OK')	image/svg+xml	etag:%2263596fe9-b9%22	https://armasm.com/svg/menu.svg	armasm.com/svg/menu.svg	(from https://armasm.com/)
09:02:32	17603/17603	---M-Z	200	added ('OK')	text/html	etag:W/%2263596fe9-44c3%22	https://armasm.com/docs/getting-to-hello-world/basics/	armasm.com/docs/getting-to-hello-world/basics/index.html	(from https://armasm.com/)
09:02:32	14171/14171	---M-Z	200	added ('OK')	text/html	etag:W/%2263596fe9-375b%22	https://armasm.com/docs/getting-to-hello-world/exiting/	armasm.com/docs/getting-to-hello-world/exiting/index.html	(from https://armasm.com/)
09:02:32	10947/10947	---M-Z	200	added ('OK')	text/html	etag:W/%2263596fe9-2ac3%22	https://armasm.com/docs/getting-to-hello-world/hello-world/	armasm.com/docs/getting-to-hello-world/hello-world/index.html	(from https://armasm.com/)
09:02:32	11558/11558	---M-Z	200	added ('OK')	text/html	etag:W/%2263596fe9-2d26%22	https://armasm.com/docs/registers-and-memory/register-overview/	armasm.com/docs/registers-and-memory/register-overview/index.html	(from https://armasm.com/)
09:02:33	228/228	---M--	200	added ('OK')	image/svg+xml	etag:%2263596fe9-e4%22	https://armasm.com/svg/toc.svg	armasm.com/svg/toc.svg	(from https://armasm.com/)
09:02:34	17525/17525	---M-Z	200	added ('OK')	text/html	etag:W/%2263596fe9-4475%22	https://armasm.com/docs/branches-and-conditionals/conditionals/	armasm.com/docs/branches-and-conditionals/conditionals/index.html	(from https://armasm.com/)
09:02:34	11239/11239	---M-Z	200	added ('OK')	text/html	etag:W/%2263596fe9-2be7%22	https://armasm.com/docs/registers-and-memory/memory-overview/	armasm.com/docs/registers-and-memory/memory-overview/index.html	(from https://armasm.com/)
09:02:34	11456/11456	---M-Z	200	added ('OK')	text/html	etag:W/%2263596fe9-2cc0%22	https://armasm.com/docs/registers-and-memory/memory-copy/	armasm.com/docs/registers-and-memory/memory-copy/index.html	(from https://armasm.com/)
09:02:34	13709/13709	---M-Z	200	added ('OK')	text/html	etag:W/%2263596fe9-358d%22	https://armasm.com/docs/registers-and-memory/find-the-otter/	armasm.com/docs/registers-and-memory/find-the-otter/index.html	(from https://armasm.com/)
09:02:36	46530/46530	---M--	200	added ('OK')	image/png	etag:%2263596fe9-b5c2%22	https://armasm.com/img/venmo-qr.png	armasm.com/img/venmo-qr.png	(from https://armasm.com/)
09:02:36	14276/14276	---M-Z	200	added ('OK')	text/html	etag:W/%2263596fe9-37c4%22	https://armasm.com/docs/branches-and-conditionals/branches-and-loops/	armasm.com/docs/branches-and-conditionals/branches-and-loops/index.html	(from https://armasm.com/)
09:02:37	13785/13785	---M-Z	200	added ('OK')	text/html	etag:W/%2263596fe9-35d9%22	https://armasm.com/docs/branches-and-conditionals/hello-world-revisited/	armasm.com/docs/branches-and-conditionals/hello-world-revisited/index.html	(from https://armasm.com/)
09:02:37	13075/13075	---M-Z	200	added ('OK')	text/html	etag:W/%2263596fe9-3313%22	https://armasm.com/docs/branches-and-conditionals/sticky-keyboard/	armasm.com/docs/branches-and-conditionals/sticky-keyboard/index.html	(from https://armasm.com/)
09:02:37	15208/15208	---M-Z	200	added ('OK')	text/html	etag:W/%2263596fe9-3b68%22	https://armasm.com/docs/branches-and-conditionals/inspecting-our-program/	armasm.com/docs/branches-and-conditionals/inspecting-our-program/index.html	(from https://armasm.com/)
